1 23:0.0125 626:0.0125 641:0.0125 608:0.0125 611:0.0125 590:0.0125 606:0.0125 519:0.0125 535:0.0125 479:0.0125
19 13:0.0125 67:0.0125 187:0.0125 641:0.0125 659:0.0125 614:0.0125 626:0.0125 558:0.0125 559:0.0125 545:0.0125
20 13:0.0125 545:0.0125 552:0.0125 502:0.0125 519:0.0125 468:0.0125 479:0.0125 370:0.0125 390:0.0125 337:0.0125
21 13:0.0125 12441:0.0125 12236:0.0125 12099:0.0125 12098:0.0125 12097:0.0125 12231:0.0125 12093:0.0125 12092:0.0125 12192:0.0125
23 1177:0.0375 1227:0.0375 1271:0.0375 1247:0.0375 1234:0.0375 1228:0.0375 1254:0.0375 1273:0.0375 1249:0.0375 1206:0.0375
24 1175:0.0375 1234:0.0375 1235:0.0375 1228:0.0375 1254:0.0375 1286:0.0375 1295:0.0375 1204:0.0375 1206:0.0375 1184:0.0375
25 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
26 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
27 1177:0.0375 1235:0.0375 1227:0.0375 1254:0.0375 1247:0.0375 1295:0.0375 1228:0.0375 1206:0.0375 1221:0.0375 1195:0.0375
28 13:0.0125 641:0.0125 659:0.0125 611:0.0125 614:0.0125 606:0.0125 608:0.0125 545:0.0125 552:0.0125 519:0.0125
30 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
31 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
32 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
34 13:0.0125 663:0.0125 67:0.0125 626:0.0125 641:0.0125 611:0.0125 614:0.0125 552:0.0125 558:0.0125 535:0.0125
35 1175:0.025 1234:0.025 1235:0.025 1228:0.025 1254:0.025 1286:0.025 1295:0.025 1204:0.025 1206:0.025 1299:0.025
37 13:0.0125 641:0.0125 659:0.0125 611:0.0125 614:0.0125 606:0.0125 608:0.0125 535:0.0125 545:0.0125 502:0.0125
38 13:0.0125 32:0.0125 25:0.0125 663:0.0125 67:0.0125 641:0.0125 659:0.0125 585:0.0125 590:0.0125 558:0.0125
39 425:0.075 435:0.075 456:0.075 438:0.075 457:0.075 466:0.075 458:0.075 439:0.075 461:0.075 464:0.075
40 1149:0.25 1158:0.25 1150:0.25 1162:0.25 1169:0.25 1153:0.25 1161:0.25 1164:0.25 1170:0.25 1171:0.25
41 13:0.0125 535:0.0125 545:0.0125 479:0.0125 502:0.0125 425:0.0125 468:0.0125 362:0.0125 370:0.0125 319:0.0125
42 13:0.0125 626:0.0125 641:0.0125 608:0.0125 611:0.0125 590:0.0125 606:0.0125 535:0.0125 545:0.0125 502:0.0125
43 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
44 13:0.0125 535:0.0125 545:0.0125 479:0.0125 502:0.0125 425:0.0125 468:0.0125 362:0.0125 370:0.0125 319:0.0125
45 13:0.0125 32:0.0125 25:0.0125 663:0.0125 67:0.0125 641:0.0125 659:0.0125 585:0.0125 590:0.0125 558:0.0125
46 13:0.0125 659:0.0125 663:0.0125 614:0.0125 626:0.0125 608:0.0125 611:0.0125 545:0.0125 552:0.0125 519:0.0125
47 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
48 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
49 1:0.0125 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
50 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
51 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
52 1:0.0125 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
53 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
54 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
55 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
56 1175:0.025 15674:0.025 16012:0.025 15329:0.025 15594:0.025 15263:0.025 15286:0.025 15247:0.025 15505:0.025 15075:0.025
57 10111:0.0125 10132:0.0125 10185:0.0125 11683:0.0125 10105:0.0125 10836:0.0125 10858:0.0125 10433:0.0125 11149:0.0125 11893:0.0125
58 12086:0.0125 12190:0.0125 12014:0.0125 11932:0.0125 12137:0.0125 13154:0.0125 13166:0.0125 12074:0.0125 12075:0.0125 12063:0.0125
59 1:0.0125 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
60 1:0.0125 14450:0.0125 14452:0.0125 14442:0.0125 14447:0.0125 11299:0.0125 14311:0.0125 14384:0.0125 14408:0.0125 14379:0.0125
61 12086:0.0125 12092:0.0125 12102:0.0125 12089:0.0125 12016:0.0125 11982:0.0125 12190:0.0125 12682:0.0125 13154:0.0125 12437:0.0125
62 1314:0.0625 1389:0.0625 1318:0.0625 1368:0.0625 1394:0.0625 1416:0.0625 1363:0.0625 1405:0.0625 1417:0.0625 1403:0.0625
63 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
64 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
65 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
66 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
67 12086:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11925:0
68 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
69 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
70 12086:0 12090:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
71 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
72 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
73 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
74 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
75 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
77 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
79 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
80 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
81 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
82 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
83 12086:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0
84 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
85 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
86 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
87 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
88 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
89 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
90 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
91 13181:0.0125 12441:0.0125 12128:0.0125 12097:0.0125 13381:0.0125 12782:0.0125 13164:0.0125 13382:0.0125 13054:0.0125 13193:0.0125
92 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
93 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
94 12086:0 12090:0 12089:0 12016:0 11982:0 11895:0 11299:0 10313:0 10107:0 5016:0
95 12086:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0
96 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
97 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
98 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
99 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
100 6011:0.0125 6666:0.0125 6079:0.0125 6363:0.0125 6365:0.0125 6163:0.0125 6247:0.0125 6040:0.0125 6042:0.0125 6006:0.0125
101 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
102 12086:0 12099:0 12098:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0
103 12086:0.0125 11982:0.0125 12140:0.0125 11895:0.0125 11299:0.0125 10313:0.0125 11932:0.0125 12437:0.0125 12575:0.0125 12075:0.0125
104 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
105 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
106 12086:0.05 12093:0.05 12047:0.05 12090:0.05 12089:0.05 12016:0.05 12054:0.05 12030:0.05 12075:0.05 11997:0.05
107 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
108 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
109 10111:0.0125 11149:0.0125 3230:0.0125 10582:0.0125 3154:0.0125 3936:0.0125 3841:0.0125 11865:0.0125 11880:0.0125 11798:0.0125
110 14416:0.0125 14471:0.0125 14472:0.0125 14465:0.0125 14468:0.0125 14454:0.0125 14461:0.0125 14435:0.0125 14442:0.0125 14429:0.0125
111 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
113 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
114 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
115 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
116 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
117 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
118 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
119 14416:0.125 14408:0.125 14415:0.125 14452:0.125 14487:0.125 14384:0.125 14430:0.125 14357:0.125 14358:0.125 14355:0.125
120 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
121 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
122 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
123 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
124 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
125 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
126 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 10313:0
127 12086:0 13180:0 1314:0 12441:0 12099:0 12098:0 12097:0 12096:0 12093:0 12092:0
128 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
129 1175:0.0375 1234:0.0375 1235:0.0375 1228:0.0375 1254:0.0375 1286:0.0375 1295:0.0375 1204:0.0375 1206:0.0375 1184:0.0375
130 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
131 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
132 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
133 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
134 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
135 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
136 12086:0 13180:0 1314:0 12441:0 12099:0 12098:0 12097:0 12096:0 12093:0 12092:0
137 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
138 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
139 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
140 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
141 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
142 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
143 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
144 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
145 1175:0.0125 1242:0.0125 1253:0.0125 1350:0.0125 1194:0.0125 1317:0.0125 1304:0.0125 1414:0.0125 1420:0.0125 1298:0.0125
146 10111:0.0125 10836:0.0125 10858:0.0125 10192:0.0125 10727:0.0125 11754:0.0125 10181:0.0125 10433:0.0125 11149:0.0125 11893:0.0125
147 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
148 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
150 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
152 12086:0 12093:0 12092:0 12090:0 12016:0 11982:0 11895:0 11299:0 10313:0 10107:0
153 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
154 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
155 12086:0 14385:0 14338:0 13180:0 1314:0 12441:0 12099:0 12098:0 12097:0 12096:0
156 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
157 12086:0 14338:0 13180:0 1314:0 12441:0 12099:0 12098:0 12097:0 12096:0 12093:0
159 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
160 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
161 14416:0.075 14357:0.075 14898:0.075 14312:0.075 14380:0.075 14405:0.075 14358:0.075 14322:0.075 14324:0.075 14321:0.075
163 12086:0 4110:0 4100:0 41:0 4:0 2255:0 2254:0 2251:0 2225:0 2215:0
164 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
165 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
167 12086:0 2225:0 2215:0 14433:0 14432:0 14410:0 14404:0 14385:0 14338:0 13180:0
168 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
169 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
170 1177:0.0375 1234:0.0375 1235:0.0375 1228:0.0375 1254:0.0375 1286:0.0375 1295:0.0375 1204:0.0375 1206:0.0375 1184:0.0375
171 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
172 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
173 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
174 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
175 2217:0.05 2310:0.05 2792:0.05 2757:0.05 2762:0.05 2224:0.05 2748:0.05 2311:0.05 2313:0.05 2303:0.05
176 12086:0.0125 12089:0.0125 12014:0.0125 11982:0.0125 11925:0.0125 12137:0.0125 12140:0.0125 12575:0.0125 12682:0.0125 12155:0.0125
177 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
178 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
179 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
180 12086:0 12092:0 12090:0 12016:0 11982:0 11895:0 11299:0 10107:0 5016:0 11976:0
181 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
182 16107:0.125 15024:0.125 15070:0.125 15643:0.125 15327:0.125 15121:0.125 15132:0.125 15594:0.125 15608:0.125 15286:0.125
183 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
184 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
185 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
186 12086:0.05 12016:0.05 11932:0.05 11925:0.05 13166:0.05 12918:0.05 13154:0.05 12074:0.05 12437:0.05 12064:0.05
188 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
189 14416:0.0125 14454:0.0125 14455:0.0125 14450:0.0125 14452:0.0125 14447:0.0125 14448:0.0125 14384:0.0125 14408:0.0125 14379:0.0125
190 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
191 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
192 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
193 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
194 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
195 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
196 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
197 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
200 1292:0.125 7087:0.125 6954:0.125 7119:0.125 7224:0.125 7096:0.125 7083:0.125 7246:0.125 1281:0.125 7008:0.125
201 1175:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
202 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
203 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
204 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
205 1175:0.0375 1235:0.0375 1227:0.0375 1254:0.0375 1247:0.0375 1295:0.0375 1228:0.0375 1206:0.0375 1221:0.0375 1195:0.0375
206 1177:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
207 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
208 16107:0.05 15311:0.05 15313:0.05 15195:0.05 15228:0.05 15132:0.05 15163:0.05 16012:0.05 16029:0.05 15608:0.05
209 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
210 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
211 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
212 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
213 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
214 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
215 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
218 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
219 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
220 1:0.025 502:0.025 519:0.025 414:0.025 468:0.025 403:0.025 412:0.025 319:0.025 220:0.025 337:0.025
221 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
222 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
223 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
224 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
225 12086:0 12097:0 12096:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0
226 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
227 1175:0.025 1247:0.025 1234:0.025 1295:0.025 1228:0.025 1274:0.025 1286:0.025 1195:0.025 1204:0.025 1262:0.025
228 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
229 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
230 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
231 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
232 1177:0.0125 1254:0.0125 1247:0.0125 1286:0.0125 1295:0.0125 1269:0.0125 1274:0.0125 1184:0.0125 1195:0.0125 1233:0.0125
233 12086:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0
234 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
235 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
236 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
237 12086:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0
238 12086:0.0125 11974:0.0125 12034:0.0125 12042:0.0125 11931:0.0125 11939:0.0125 11992:0.0125 11986:0.0125 12000:0.0125 11972:0.0125
239 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
240 12086:0 12093:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0
241 12086:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0
242 12086:0 14397:0 14396:0 14385:0 14338:0 13180:0 1314:0 12099:0 12098:0 12097:0
243 12086:0 11925:0 11895:0 11299:0 10313:0 10107:0 5016:0 11976:0 6006:0 5049:0
245 12086:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0 10107:0
246 12086:0 12092:0 12090:0 12089:0 12016:0 11982:0 11925:0 11895:0 11299:0 10313:0
